file,strategy,original_tokens,minified_tokens,reduction_pct,semantic_similarity,processing_time_ms,original_chars,minified_chars
project_readme.md,baseline,491,491,0.0,,0.002861999746528454,2299,2299
project_readme.md,syntax_only,491,444,9.572301425661914,0.9288390874862671,0.44623800022236537,2299,2174
project_readme.md,syntax_stopwords,491,346,29.531568228105908,0.8849825859069824,8.379120999961742,2299,1857
project_readme.md,syntax_stopwords_simplify,491,336,31.568228105906314,0.8822494745254517,1.156522000201221,2299,1804
project_readme.md,synonyms_syntax_stopwords_simplify,491,381,22.403258655804482,0.8367205262184143,1643.3404970002812,2299,1745
enterprise_planning.md,baseline,2548,2548,0.0,,0.0009440000212634914,10681,10681
enterprise_planning.md,syntax_only,2548,2246,11.852433281004709,0.9562807083129883,0.42772899996634806,10681,9916
enterprise_planning.md,syntax_stopwords,2548,1997,21.62480376766091,0.914835512638092,2.7862320002896013,10681,9470
enterprise_planning.md,syntax_stopwords_simplify,2548,1985,22.09576138147567,0.914835512638092,3.6878189998788002,10681,9421
enterprise_planning.md,synonyms_syntax_stopwords_simplify,2548,2291,10.08634222919937,0.9361467957496643,40.02865899974495,10681,9178
technical_explanation.md,baseline,3924,3924,0.0,,0.0008299998626171146,14489,14489
technical_explanation.md,syntax_only,3924,3519,10.321100917431194,0.9150847792625427,0.40182800012189546,14489,13528
technical_explanation.md,syntax_stopwords,3924,3181,18.934760448521917,0.8594646453857422,4.507566000029328,14489,13103
technical_explanation.md,syntax_stopwords_simplify,3924,3151,19.699286442405707,0.8594646453857422,5.8293179999964195,14489,12973
technical_explanation.md,synonyms_syntax_stopwords_simplify,3924,3411,13.073394495412844,0.8432788252830505,224.56139099995198,14489,12227
programming_tutorial.md,baseline,1460,1460,0.0,,0.0011040001481887884,6596,6596
programming_tutorial.md,syntax_only,1460,1270,13.013698630136986,0.9721646308898926,0.21753800001533818,6596,6173
programming_tutorial.md,syntax_stopwords,1460,1033,29.246575342465754,0.9456061124801636,2.2625739998147765,6596,5189
programming_tutorial.md,syntax_stopwords_simplify,1460,994,31.917808219178085,0.9329796433448792,2.728731999923184,6596,4886
programming_tutorial.md,synonyms_syntax_stopwords_simplify,1460,1121,23.219178082191778,0.7916152477264404,19.421399000293604,6596,4730
prompt_engineering_guide.md,baseline,715,715,0.0,,0.0007169996933953371,3401,3401
prompt_engineering_guide.md,syntax_only,715,650,9.090909090909092,0.9334377646446228,0.09503100000074483,3401,3241
prompt_engineering_guide.md,syntax_stopwords,715,462,35.38461538461539,0.8584765791893005,1.2552619996313297,3401,2635
prompt_engineering_guide.md,syntax_stopwords_simplify,715,452,36.78321678321678,0.8348291516304016,1.436024000213365,3401,2538
prompt_engineering_guide.md,synonyms_syntax_stopwords_simplify,715,526,26.433566433566437,0.7569406628608704,10.41444100019362,3401,2445
architecture_design.md,baseline,848,848,0.0,,0.000990999978967011,3984,3984
architecture_design.md,syntax_only,848,715,15.683962264150944,0.9241868853569031,0.12903100014227675,3984,3665
architecture_design.md,syntax_stopwords,848,559,34.08018867924528,0.8356038928031921,1.4664370000900817,3984,3265
architecture_design.md,syntax_stopwords_simplify,848,553,34.7877358490566,0.8356038928031921,1.737318999857962,3984,3206
architecture_design.md,synonyms_syntax_stopwords_simplify,848,619,27.004716981132077,0.815126895904541,12.385434999941936,3984,3062
rest_api_reference.md,baseline,473,473,0.0,,0.0006140003279142547,1966,1966
rest_api_reference.md,syntax_only,473,416,12.050739957716702,0.9154947400093079,0.0739849997444253,1966,1827
rest_api_reference.md,syntax_stopwords,473,359,24.101479915433405,0.911933958530426,0.968339000337437,1966,1702
rest_api_reference.md,syntax_stopwords_simplify,473,352,25.581395348837212,0.911933958530426,0.9089390000553976,1966,1669
rest_api_reference.md,synonyms_syntax_stopwords_simplify,473,387,18.181818181818183,0.6831123232841492,6.1722160003228055,1966,1594
git_commands.md,baseline,1697,1697,0.0,,0.0009059999683813658,6102,6102
git_commands.md,syntax_only,1697,1387,18.267530936947555,0.8986335396766663,0.16787399999884656,6102,5278
git_commands.md,syntax_stopwords,1697,1131,33.352975839717146,0.9139641523361206,1.492222000251786,6102,5136
git_commands.md,syntax_stopwords_simplify,1697,1129,33.47083087802004,0.9139641523361206,1.9639789998109336,6102,5125
git_commands.md,synonyms_syntax_stopwords_simplify,1697,1417,16.499705362404242,0.907467246055603,10.729030999755196,6102,5477
format_specification.md,baseline,363,363,0.0,,0.0009450000106880907,1860,1860
format_specification.md,syntax_only,363,321,11.570247933884298,0.950228750705719,0.08372899992536986,1860,1753
format_specification.md,syntax_stopwords,363,248,31.68044077134986,0.94024258852005,0.7512229999520059,1860,1504
format_specification.md,syntax_stopwords_simplify,363,243,33.057851239669425,0.9407365918159485,0.8974759998636728,1860,1461
format_specification.md,synonyms_syntax_stopwords_simplify,363,276,23.96694214876033,0.8716039061546326,5.173146000288398,1860,1365
system_architecture.md,baseline,2989,2989,0.0,,0.0005849997251061723,14096,14096
system_architecture.md,syntax_only,2989,2520,15.690866510538642,0.9531373381614685,0.3762350002034509,14096,12952
system_architecture.md,syntax_stopwords,2989,2218,25.79458012713282,0.8985270261764526,3.137428000172804,14096,12361
system_architecture.md,syntax_stopwords_simplify,2989,2199,26.43024422883908,0.8985270261764526,3.847410000162199,14096,12303
system_architecture.md,synonyms_syntax_stopwords_simplify,2989,2531,15.322850451656073,0.8790692090988159,20.245380000233126,14096,11989
